0, 2.794, 3.007, 1, 1
1, 2.810, 3.042, 1, 1
2, 2.768, 3.039, 1, 1
3, 2.820, 3.120, 1, 1
4, 2.913, 3.023, 1, 1
5, 2.920, 2.975, 1, 1
6, 2.878, 3.071, 1, 1
7, 2.833, 3.000, 1, 1
8, 2.817, 2.920, 1, 1
9, 2.800, 2.949, 1, 1
10, 2.817, 3.058, 1, 1
11, 2.775, 2.958, 1, 1
12, 2.836, 3.058, 1, 1
13, 2.752, 3.010, 1, 1
14, 2.739, 2.962, 1, 1
15, 2.849, 3.065, 1, 1
16, 2.884, 3.058, 1, 1
17, 2.817, 2.962, 1, 1
18, 2.781, 2.997, 1, 1
19, 2.817, 2.991, 1, 1
20, 2.778, 3.023, 1, 1
21, 2.878, 2.997, 1, 1
22, 2.852, 3.026, 1, 1
23, 2.752, 2.962, 1, 1
24, 2.768, 2.962, 1, 1
25, 2.878, 3.016, 1, 1
26, 2.755, 2.997, 1, 1
27, 2.904, 2.920, 1, 1
28, 2.849, 3.036, 1, 1
29, 2.852, 3.058, 1, 1
30, 2.855, 2.971, 1, 1
31, 2.778, 3.055, 1, 1
32, 2.755, 2.971, 1, 1
33, 2.955, 3.016, 1, 1
34, 2.881, 3.107, 1, 1
35, 2.820, 3.023, 1, 1
36, 2.778, 2.971, 1, 1
37, 2.768, 3.081, 1, 1
38, 2.800, 3.126, 1, 1
39, 2.826, 3.074, 1, 1
40, 2.891, 3.016, 1, 1
41, 2.775, 3.023, 1, 1
42, 2.817, 2.958, 1, 1
43, 2.823, 3.055, 1, 1
44, 2.878, 3.042, 1, 1
45, 2.817, 3.045, 1, 1
46, 2.833, 3.016, 1, 1
47, 2.739, 3.026, 1, 1
48, 2.820, 3.074, 1, 1
49, 2.868, 3.007, 1, 1
50, 2.871, 3.097, 1, 1
51, 2.826, 2.991, 1, 1
52, 2.852, 3.087, 1, 1
53, 2.881, 3.033, 1, 1
54, 2.878, 3.058, 1, 1
55, 2.794, 2.946, 1, 1
56, 2.810, 3.126, 1, 1
57, 2.833, 3.074, 1, 1
58, 2.878, 2.997, 1, 1
59, 2.920, 3.055, 1, 1
60, 2.871, 3.055, 1, 1
61, 2.917, 3.033, 1, 1
62, 2.826, 2.955, 1, 1
63, 2.878, 3.074, 1, 1
64, 2.836, 3.074, 1, 1
65, 2.884, 3.039, 1, 1
66, 2.765, 2.991, 1, 1
67, 2.878, 2.920, 1, 1
68, 2.817, 3.007, 1, 1
69, 2.852, 2.971, 1, 1
70, 2.804, 2.997, 1, 1
71, 2.820, 2.920, 1, 1
72, 2.871, 3.033, 1, 1
73, 2.868, 3.026, 1, 1
74, 2.900, 2.955, 1, 1
75, 2.800, 2.955, 1, 1
76, 2.775, 2.981, 1, 1
77, 2.920, 3.026, 1, 1
78, 2.852, 3.087, 1, 1
79, 2.817, 2.955, 1, 1
80, 2.955, 2.991, 1, 1
81, 2.768, 3.007, 1, 1
82, 2.794, 2.975, 1, 1
83, 2.775, 3.068, 1, 1
84, 2.791, 3.007, 1, 1
85, 2.826, 3.023, 1, 1
86, 2.894, 3.062, 1, 1
87, 2.881, 3.004, 1, 1
88, 2.817, 3.120, 1, 1
89, 2.852, 3.007, 1, 1
90, 2.849, 3.068, 1, 1
91, 2.778, 3.033, 1, 1
92, 2.800, 3.107, 1, 1
93, 2.817, 2.958, 1, 1
94, 2.800, 2.975, 1, 1
95, 2.817, 3.084, 1, 1
96, 2.826, 2.997, 1, 1
97, 2.839, 3.007, 1, 1
98, 2.868, 3.033, 1, 1
99, 2.820, 3.039, 1, 1
100, 2.878, 2.971, 1, 1
101, 2.765, 2.975, 1, 1
102, 2.849, 3.016, 1, 1
103, 2.800, 2.991, 1, 1
104, 2.839, 2.981, 1, 1
105, 2.868, 3.023, 1, 1
106, 2.784, 3.068, 1, 1
107, 2.881, 2.997, 1, 1
108, 2.852, 2.962, 1, 1
109, 2.878, 3.126, 1, 1
110, 2.852, 2.991, 1, 1
111, 2.791, 3.016, 1, 1
112, 2.749, 3.058, 1, 1
113, 2.791, 3.097, 1, 1
114, 2.820, 3.016, 1, 1
115, 2.778, 3.058, 1, 1
116, 2.852, 3.016, 1, 1
117, 2.852, 2.994, 1, 1
118, 2.829, 3.007, 1, 1
